LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
ale,1,3,2.73197874703279,-2,3,2.73258281628383,0,0.00060406925104,3,2.73251918955763,0,0.00054044252484
alf,1,1,1.16136106703732,0,1,1.1599596267349,0,-0.00140144030242,1,1.15971915517124,0,-0.00164191186608
alh,2,2,1.72368299866245,0,2,1.72402779912869,0,0.00034480046624,2,1.72409917051589,0,0.00041617185344
ali,1,1,1.00139880131279,0,1,1.00139697667897,0,-1.82463381981357E-06,1,1.00139662699463,0,-2.17431815996427E-06
alj,1,1,1.03054007190646,0,1,1.03055647079423,0,1.63988877701637E-05,1,1.0305581357225,0,1.80638160400814E-05
alk,1,1,1.08049691843695,0,1,1.08080341665142,0,0.00030649821447,1,1.08090229865644,0,0.00040538021949
all,1,1,1.22230908204485,0,1,1.22220267994995,0,-0.0001064020949,1,1.22218097746795,0,-0.0001281045769
alm,1,1,1.01443507957729,0,1,1.01441433200638,0,-2.07475709099736E-05,1,1.01440960185845,0,-2.54777188399835E-05
aln,1,1,1.00000082024398,0,1,1.00000081258663,0,-7.65735008734225E-09,1,1.00000081004565,0,-1.01983301803443E-08
alo,1,1,1.02402903286022,0,1,1.0239245040971,0,-0.00010452876312,1,1.023907648911,0,-0.00012138394922
alp,1,1,1.00804597215111,0,1,1.00804485552401,0,-1.11662709989524E-06,1,1.00804521190166,0,-7.60249449838213E-07
alq,1,1,1.37419352748073,0,1,1.37370639072169,0,-0.00048713675904,1,1.37354308240489,0,-0.00065044507584
alr,2,2,1.62372404099688,0,2,1.6252121904868,0,0.00148814948992,2,1.62571079265329,0,0.00198675165641
als,1,1,1.00000342433026,0,1,1.00000338108152,0,-4.32487399226744E-08,1,1.00000336772249,0,-5.66077700270284E-08
alt,1,1,1.09277184856166,0,1,1.09317149165588,0,0.00039964309422,1,1.09331527492291,0,0.00054342636125
alu,1,1,1.00000015714824,0,1,1.00000015735548,0,2.0724000293626E-10,1,1.00000015736036,0,2.12120099263302E-10
alw,1,1,1.00047198556302,0,1,1.00047036855967,0,-1.61700334988524E-06,1,1.00046987222315,0,-2.11333986999129E-06
alx,1,1,1.05977185967395,0,1,1.05969323101739,0,-7.86286565599426E-05,1,1.05967319941379,0,-9.86602601600328E-05
aly,1,1,1.00393532735417,0,1,1.0039442330153,0,8.90566112987656E-06,1,1.00394523476674,0,9.90741256989836E-06
alz,1,1,1.00028096659584,0,1,1.00027868465286,0,-2.28194298013129E-06,1,1.00027797769553,0,-2.98890031014132E-06
amb,1,1,1.2777273712261,0,1,1.27587349078917,0,-0.00185388043693,1,1.27560863516876,0,-0.00211873605734
amc,1,1,1.25874833466758,0,1,1.26015044431718,0,0.0014021096496,1,1.25921113330684,0,0.00046279863926
ame,1,1,1.01740692024578,0,1,1.03493149185533,0,0.01752457160955,1,1.0535387170469,0,0.03613179680112
amf,1,1,1.00113070940791,0,1,1.00113016172159,0,-5.47686320073737E-07,1,1.00112993083131,0,-7.78576600080072E-07
amg,2,2,2.26677638017139,0,2,2.2669640122486,0,0.00018763207721,2,2.26700617192465,0,0.00022979175326
amh,1,1,1.00000501330775,0,1,1.00000806930999,0,3.05600223993174E-06,1,1.00001001673283,0,5.00342508003016E-06
ami,1,1,1.01242907372228,0,1,1.01253104364782,0,0.00010196992554,1,1.01256423804851,0,0.00013516432623
amj,1,1,1.06939935049419,0,1,1.06896435091477,0,-0.00043499957942,1,1.06882911399789,0,-0.0005702364963
amk,1,1,1.01609687877331,0,1,1.0161400067687,0,4.31279953900798E-05,1,1.0161489330874,0,5.20543140900553E-05
aml,1,1,1.00118510906143,0,1,1.00118583018661,0,7.21125179792281E-07,1,1.00118521330789,0,1.04246459908808E-07
