,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017
173,Asia,Yemen,YEM,Yemen,YEM,YEM,27622544883,35.9,5.15143013,2010,2.6,63.508,16.28027682,26.916
174,Africa,South Africa,ZAF,South Africa,ZAF,ZAF,3.75E+11,59.7,5.721739769,2010,9.9,55.888,16.37093026,19.231
175,Africa,Zambia,ZMB,Zambia,ZMB,ZMB,20265556274,54,1.240759969,2010,6.6,56.588,17.52085096,24.831
176,Africa,Zimbabwe,ZWE,Zimbabwe,ZWE,ZWE,12041655200,45.7,7.351300001,2010,7.3,52.975,17.59408414,19.629
177,South America,Netherlands,NL1,Aruba,ABW,ABW,2551409423,26.8,6.099900007,2010,12,75.016,19.90431737,-7.483
178,South America,United Kingdom,GB1,Anguilla,AIA,AIA,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
179,Europe,Finland,FI1,Aland,ALD,ALA,2.48E+11,25.3,6.485179901,2010,12.3,79.87073171,23.75704486,30.035
180,Europe,Andorra,AND,Andorra,AND,AND,3355695364,31.4,2.963939905,2010,10.1,82.36,NA,29.7
181,Australia,United States of America,US1,American Samoa,ASM,ASM,5.76E+08,37.4,14.62928009,2010,13.2,78.54146341,23.27545261,20.959
182,Australia,Australia,AU1,Ashmore and Cartier Islands,ATC,Ashm,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375
183,South America,Antigua and Barbuda,ATG,Antigua and Barbuda,ATG,ATG,1221221061,47,2.517240047,2010,9.2,75.412,21.37649265,-14.943
184,Asia,Bahrain,BHR,Bahrain,BHR,BHR,25713271277,51.1,2.575000048,2010,8.4,76.056,19.31422398,6.866
185,Europe,France,FR1,Saint Barthelemy,BLM,BLM,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3
186,South America,United Kingdom,GB1,Bermuda,BMU,BMU,5744414000,33.5,1.988770008,2010,12.8,79.38843902,23.82913896,0
187,South America,Barbados,BRB,Barbados,BRB,BRB,4572907997,46.65,5.286205053,2010,9.4,74.973,19.55317881,-5.618
188,Australia,New Zealand,NZ1,Cook Islands,COK,COK,1.47E+11,32.2,6.336339951,2010,12,80.70243902,24.33306867,10.468
189,Africa,Comoros,COM,Comoros,COM,COM,907093130.3,53.1,4.877460003,2010,4.2,61.862,16.19059874,16.233
190,Africa,Cape Verde,CPV,Cape Verde,CPV,CPV,1664310770,48.1,5.308959961,2010,5.1,71.941,18.36890044,48.582
191,South America,Netherlands,NL1,Curacao,CUW,CUW,8.50E+11,26.8,4.930950165,2010,12,77.47317073,22.6352136,14.493
192,South America,United Kingdom,GB1,Cayman Islands,CYM,CYM,2.52E+12,33.5,1.885744989,2010,12.8,82.1902439,23.82913896,0
193,South America,Dominica,DMA,Dominica,DMA,DMA,490525417.5,44.7,3.386070013,2010,7.8,72.24235716,NA,32.335
194,Europe,Denmark,DN1,Faroe Islands,FRO,FRO,2320424601,25.1,7.907740116,2010,12.8,80.58780488,22.92931827,14.07
195,Australia,Federated States of Micronesia,FSM,Federated States of Micronesia,FSM,FSM,296471675.7,41.7,12.45950031,2010,7.2,68.582,17.18803592,0.296
196,Europe,Palestine,PSE,Gaza,GAZ,Gaza,8913100000,34.4,5.302499771,2010,8.5,72.444,18.53287029,8.185
197,Europe,United Kingdom,GB1,Guernsey,GGY,GGY,2.52E+12,33.5,5.374690056,2010,12.8,80.145,23.18585629,4.699
198,South America,Grenada,GRD,Grenada,GRD,GRD,785994301.6,43.35,3.5,2010,8.3,72.618,18.71992653,5.832
199,Australia,United States of America,US1,Guam,GUM,GUM,4.90E+09,37.4,5.194859982,2010,13.2,78.134,22.07444441,44.552
