ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO
TZM-MAR,tzm-MAR,tzm-ma,tzm-MO,Central Atlas Tamazight,"Tamazight, Central Atlas","TAMAZIGHT, CENTRAL ATLAS","Tamazight, Central Atlas",tzm
ZUL-ZAF,zul-ZAF,zul-za,zul-SF,Zulu,Zulu,ZULU,Zulu,zul
BXM-MNG,bxm-MNG,bxm-mn,bxm-MG,Mongolia Buriat,"Buriat, Mongolia","BURIAT, MONGOLIA","Buriat, Mongolia",bxm
ALY-AUS,aly-AUS,aly-au,aly-AS,Alyawarr,Alyawarr,ALYAWARR,Alyawarr,aly
BAM-MLI,bam-MLI,bam-ml,bam-ML,Bamanankan,Bamanankan,BAMANANKAN,Bamanankan,bam
ARN-ARG,arn-ARG,arn-ar,arn-AR,Mapudungun,Mapudungun,MAPUDUNGUN,Mapudungun,arn
CAX-BOL,cax-BOL,cax-bo,cax-BL,Chiquitano,Chiquitano,CHIQUITANO,Chiquitano,cax
BUL-BGR,bul-BGR,bul-bg,bul-BU,Bulgarian,Bulgarian,BULGARIAN,Bulgarian,bul
KOR-PRK,kor-PRK,kor-kp,kor-KN,Korean,Korean,KOREAN,Korean,kor
HUN-HUN,hun-HUN,hun-hu,hun-HU,Hungarian,Hungarian,HUNGARIAN,Hungarian,hun
ARS-SYR,ars-SYR,ars-sy,ars-SY,Najdi Spoken Arabic,"Arabic, Najdi Spoken","ARABIC, NAJDI SPOKEN","Arabic, Najdi Spoken",ars
EVE-RUS,eve-RUS,eve-ru,eve-RS,Even,Even,EVEN,Even,eve
YUE-CHN,yue-CHN,yue-cn,yue-CH,Yue Chinese,"Chinese, Yue","CHINESE, YUE","Chinese, Yue",yue
GAX-KEN,gax-KEN,gax-ke,gax-KE,Borana,Borana,BORANA,Borana,gax
TAM-IND,tam-IND,tam-in,tam-IN,Tamil,Tamil,TAMIL,Tamil,tam
BCC-IRN,bcc-IRN,bcc-ir,bcc-IR,Southern Balochi,"Balochi, Southern","BALOCHI, SOUTHERN","Balochi, Southern",bcc
KDD-AUS,kdd-AUS,kdd-au,kdd-AS,Yankunytjatjara,Yankunytjatjara,YANKUNYTJATJARA,Yankunytjatjara,kdd
ZLM-IDN,zlm-IDN,zlm-id,zlm-ID,Malay,Malay,MALAY,Malay,zlm
STY-RUS,sty-RUS,sty-ru,sty-RS,Siberian Tatar,"Tatar, Siberian","TATAR, SIBERIAN","Tatar, Siberian",sty
QUS-ARG,qus-ARG,qus-ar,qus-AR,Santiago del Estero Quichua,"Quichua, Santiago del Estero","QUICHUA, SANTIAGO DEL ESTERO","Quichua, Santiago del Estero",qus
RWR-IND,rwr-IND,rwr-in,rwr-IN,Marwari,Marwari,MARWARI,Marwari,rwr
KOR-KOR,kor-KOR,kor-kr,kor-KS,Korean,Korean,KOREAN,Korean,kor
DEU-AUT,deu-AUT,deu-at,deu-AU,Standard German,"German, Standard","GERMAN, STANDARD","German, Standard",deu
ORY-IND,ory-IND,ory-in,ory-IN,Oriya,Oriya,ORIYA,Oriya,ory
SOM-KEN,som-KEN,som-ke,som-KE,Somali,Somali,SOMALI,Somali,som
TGK-TJK,tgk-TJK,tgk-tj,tgk-TI,Tajiki,Tajiki,TAJIKI,Tajiki,tgk
SHN-MMR,shn-MMR,shn-mm,shn-BM,Shan,Shan,SHAN,Shan,shn
SPA-CUB,spa-CUB,spa-cu,spa-CU,Spanish,Spanish,SPANISH,Spanish,spa
POR-PRT,por-PRT,por-pt,por-PO,Portuguese,Portuguese,PORTUGUESE,Portuguese,por
SPA-NIC,spa-NIC,spa-ni,spa-NU,Spanish,Spanish,SPANISH,Spanish,spa
