,P[Y=1],P[Y=2],P[Y=3],y_hat,y_avg,y_obs,residual1,residual2
amx,0.843873696,0.147957164,0.008169141,1,1.164295445,1,-0.164295445,0
amy,0.417202083,0.464136881,0.118661036,2,1.701458954,2,0.298541046,0
amz,0.043530054,0.330821242,0.625648704,3,2.58211865,3,0.41788135,0
ana,0.011922304,0.180539391,0.807538304,3,2.795616,3,0.204384,0
anb,0.018763626,0.226579409,0.754656965,3,2.735893339,3,0.264106661,0
anc,0.999817281,0.000182357,3.62E-07,1,1.000183082,1,-0.000183082,0
and,0.993731713,0.006217632,5.07E-05,1,1.006318942,1,-0.006318942,0
ane,0.915480699,0.08168242,0.002836881,1,1.087356182,1,-0.087356182,0
anf,0.952001508,0.046874469,0.001124023,1,1.049122516,1,-0.049122516,0
anh,0.991643605,0.008279147,7.72E-05,1,1.008433643,1,-0.008433643,0
ani,0.992172535,0.007757311,7.02E-05,1,1.007897619,1,-0.007897619,0
anj,0.967065895,0.032315333,0.000618772,1,1.033552877,1,-0.033552877,0
ank,0.999305712,0.000692048,2.24E-06,1,1.000696528,1,-0.000696528,0
anl,0.962610637,0.036633914,0.000755448,1,1.038144811,1,-0.038144811,0
anm,0.99460737,0.005351947,4.07E-05,1,1.005433312,1,-0.005433312,0
ann,0.999253261,0.000744261,2.48E-06,1,1.000749216,1,-0.000749216,0
ano,0.877748958,0.116935099,0.005315943,1,1.127566985,1,-0.127566985,0
anp,0.997767249,0.002221274,1.15E-05,1,1.002244229,1,-0.002244229,0
anq,0.483260976,0.428037195,0.088701829,1,1.605440854,1,-0.605440854,0
anr,0.985858746,0.013972139,0.000169116,1,1.01431037,1,-0.01431037,0
ans,0.001969981,0.065857871,0.932172148,3,2.930202167,3,0.069797833,0
ant,0.202133302,0.509013373,0.288853325,2,2.086720023,2,-0.086720023,0
anu,0.999572704,0.000426147,1.15E-06,1,1.000428445,1,-0.000428445,0
anv,0.991848194,0.00807733,7.45E-05,1,1.008226282,1,-0.008226282,0
anw,0.999669718,0.000329473,8.08E-07,1,1.00033109,1,-0.00033109,0
any,0.999924638,7.53E-05,1.11E-07,1,1.000075472,1,-7.54721E-05,0
anz,0.971675436,0.027835549,0.000489015,1,1.028813579,1,-0.028813579,0
aoa,0.989816488,0.010079997,0.000103515,1,1.010287027,1,-0.010287027,0
aob,0.673262094,0.293831908,0.032905999,1,1.359643905,2,0.640356095,1
aoc,0.960847687,0.038339786,0.000812527,1,1.03996484,1,-0.03996484,0
aod,0.976962253,0.022682458,0.00035529,1,1.023393037,1,-0.023393037,0
aoe,0.995537079,0.004431997,3.09E-05,1,1.004493845,1,-0.004493845,0
aof,0.965272012,0.034055498,0.00067249,1,1.035400477,1,-0.035400477,0
aog,0.993032749,0.006908122,5.91E-05,1,1.00702638,1,-0.00702638,0
aoi,0.812386218,0.176235206,0.011378576,1,1.198992358,1,-0.198992358,0
aoj,0.995274891,0.004691523,3.36E-05,1,1.004758696,1,-0.004758696,0
aok,0.581032717,0.363644628,0.055322656,1,1.474289939,2,0.525710061,1
aol,0.998176984,0.0018144,8.62E-06,1,1.001831633,1,-0.001831633,0
aom,0.984850922,0.014961473,0.000187604,1,1.015336682,1,-0.015336682,0
aon,0.990534917,0.009372215,9.29E-05,1,1.009557951,1,-0.009557951,0
aos,0.897335741,0.098725547,0.003938712,1,1.106602971,1,-0.106602971,0
aot,0.986425244,0.013415723,0.000159032,1,1.013733788,1,-0.013733788,0
aox,0.005473743,0.118856836,0.875669422,3,2.870195679,2,-0.870195679,-1
aoz,0.998909533,0.001086276,4.19E-06,1,1.001094658,1,-0.001094658,0
apb,0.998604941,0.001389144,5.91E-06,1,1.001400973,1,-0.001400973,0
ape,0.997830267,0.002158712,1.10E-05,1,1.002180754,1,-0.002180754,0
apg,0.989449712,0.010441182,0.000109106,1,1.010659393,1,-0.010659393,0
aph,0.990117652,0.009783346,9.90E-05,1,1.009981351,1,-0.009981351,0
api,0.642381071,0.318040036,0.039578893,1,1.397197822,2,0.602802178,1
apj,0.612440993,0.340733969,0.046825038,1,1.434384046,1,-0.434384046,0
apk,0.209877266,0.510484334,0.279638399,2,2.069761133,2,-0.069761133,0
apl,0.1103676,0.455627786,0.434004615,2,2.323637015,3,0.676362985,1
apm,0.252308444,0.51301137,0.234680186,2,1.982371742,1,-0.982371742,-1
apn,0.709701204,0.264307341,0.025991455,1,1.31629025,1,-0.31629025,0
app,0.999223046,0.000774337,2.62E-06,1,1.000779571,1,-0.000779571,0
apq,0.032271173,0.291330187,0.67639864,3,2.644127467,3,0.355872533,0
apr,0.904568068,0.091952339,0.003479593,1,1.098911525,1,-0.098911525,0
aps,0.972642019,0.026894638,0.000463343,1,1.027821324,1,-0.027821324,0
apt,0.995598812,0.00437088,3.03E-05,1,1.004431496,1,-0.004431496,0
apu,0.868070796,0.125859765,0.006069439,1,1.137998643,1,-0.137998643,0
apw,0.776102291,0.208114514,0.015783195,1,1.239680903,1,-0.239680903,0
apx,0.621219079,0.334163455,0.044617466,1,1.423398388,2,0.576601612,1
apy,0.761201909,0.220974856,0.017823234,1,1.256621325,1,-0.256621325,0
apz,0.995457875,0.004510404,3.17E-05,1,1.004573846,1,-0.004573846,0
aqc,0.918539832,0.078792683,0.002667485,1,1.084127653,1,-0.084127653,0
aqg,0.995935828,0.004037154,2.70E-05,1,1.004091189,1,-0.004091189,0
aqm,0.882857732,0.112204505,0.004937763,1,1.12208003,1,-0.12208003,0
aqn,0.702262581,0.270414548,0.027322871,1,1.32506029,1,-0.32506029,0
aqr,0.400747962,0.471973782,0.127278255,2,1.726530293,2,0.273469707,0
ard,0.005744492,0.12208736,0.872168148,3,2.866423655,2,-0.866423655,-1
are,0.913985093,0.083093493,0.002921414,1,1.088936322,1,-0.088936322,0
arg,0.997782915,0.002205721,1.14E-05,1,1.002228448,1,-0.002228448,0
arh,0.928903335,0.068967985,0.00212868,1,1.073225345,1,-0.073225345,0
ari,0.121627775,0.466944977,0.411427247,2,2.289799472,2,-0.289799472,0
arj,0.289289993,0.508936474,0.201773533,2,1.91248354,3,1.08751646,1
ark,0.110625396,0.455907637,0.433466967,2,2.322841571,2,-0.322841571,0
arl,0.575019402,0.367919282,0.057061316,1,1.482041914,2,0.517958086,1
arn,0.938445448,0.059873962,0.001680591,1,1.063235143,1,-0.063235143,0
aro,0.553646137,0.382804339,0.063549524,1,1.509903388,1,-0.509903388,0
arp,0.677852048,0.290168342,0.03197961,1,1.354127562,1,-0.354127562,0
arr,0.503349688,0.41576777,0.080882542,1,1.577532854,1,-0.577532854,0
arv,0.978661601,0.021022546,0.000315853,1,1.021654252,1,-0.021654252,0
arw,0.948631752,0.050114737,0.001253511,1,1.052621759,2,0.947378241,1
arx,0.138175732,0.480578718,0.38124555,2,2.243069818,2,-0.243069818,0
asa,0.997203759,0.002780435,1.58E-05,1,1.002812047,1,-0.002812047,0
asb,0.719188703,0.256460585,0.024350712,1,1.30516201,2,0.69483799,1
asc,0.981984016,0.017772049,0.000243935,1,1.018259919,1,-0.018259919,0
asg,0.999247577,0.000749919,2.50E-06,1,1.000754926,1,-0.000754926,0
ash,0.049192423,0.347479251,0.603328325,3,2.554135902,3,0.445864098,0
asi,0.823060922,0.166710515,0.010228563,1,1.187167641,1,-0.187167641,0
asj,0.980829835,0.018902037,0.000268128,1,1.019438292,1,-0.019438292,0
ask,0.910430495,0.086442655,0.00312685,1,1.092696354,1,-0.092696354,0
asm,0.999999994,6.25E-09,7.03E-13,1,1.000000006,1,-6.25289E-09,0
asn,0.584677182,0.361035941,0.054286877,1,1.469609695,1,-0.469609695,0
aso,0.999028771,0.000967662,3.57E-06,1,1.000974795,1,-0.000974795,0
asr,0.975050871,0.024547397,0.000401732,1,1.025350862,1,-0.025350862,0
ass,0.97331111,0.026243001,0.000445889,1,1.027134779,1,-0.027134779,0
ast,0.999255962,0.000741574,2.46E-06,1,1.000746503,1,-0.000746503,0
asu,0.451725162,0.446136192,0.102138646,1,1.650413484,1,-0.650413484,0
asv,0.970376582,0.02909906,0.000524358,1,1.030147777,1,-0.030147777,0
asx,0.992791352,0.007146491,6.22E-05,1,1.007270806,1,-0.007270806,0
asy,0.904984436,0.091561598,0.003453967,1,1.098469531,1,-0.098469531,0
asz,0.712852511,0.261708088,0.025439401,1,1.31258689,1,-0.31258689,0
ata,0.976754369,0.022885396,0.000360235,1,1.023605866,1,-0.023605866,0
atb,0.999748186,0.000251254,5.59E-07,1,1.000252373,1,-0.000252373,0
atd,0.988858134,0.011023527,0.000118339,1,1.011260205,1,-0.011260205,0
ate,0.898991361,0.097177368,0.003831271,1,1.10483991,2,0.89516009,1
atg,0.994890033,0.005072345,3.76E-05,1,1.00514759,1,-0.00514759,0
ati,0.999487282,0.000511243,1.48E-06,1,1.000514194,1,-0.000514194,0
atj,0.876014049,0.118538514,0.005447437,1,1.129433387,1,-0.129433387,0
