,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7],y_hat,y_avg,y_obs,residual1,residual2
lnm,0.67611687,0.219892185,0.064514828,0.026236084,0.012229843,0.000908113,0.000102077,1,1.481702491,1,-0.481702491,0
lnn,0.487318092,0.29217205,0.118135227,0.060598443,0.03709538,0.004051291,0.000629517,1,1.88265291,2,0.11734709,1
lns,0.964701044,0.030776101,0.003581019,0.00076354,0.000173765,4.33E-06,2.04E-07,1,1.040946678,1,-0.040946678,0
lnu,0.90291469,0.079247541,0.013153034,0.003580156,0.001061876,4.01E-05,2.62E-06,1,1.120757716,1,-0.120757716,0
loa,0.672642624,0.221614171,0.065437767,0.026733843,0.012528132,0.000937423,0.00010604,1,1.488127118,1,-0.488127118,0
lob,0.986664944,0.01206524,0.001050966,0.000184181,3.40E-05,6.06E-07,2.21E-08,1,1.014859041,1,-0.014859041,0
loc,0.934806778,0.054882551,0.007852849,0.001929158,0.00051152,1.62E-05,9.23E-07,1,1.07850845,1,-0.07850845,0
loe,0.766765892,0.170288107,0.04167445,0.014892799,0.005987046,0.000357993,3.37E-05,1,1.324255831,2,0.675744169,1
lof,0.272109756,0.305515468,0.178372429,0.120117932,0.102394594,0.01747127,0.004018551,2,2.543660156,4,1.456339844,2
log,0.988889881,0.01010545,0.000837104,0.000141826,2.53E-05,4.25E-07,1.48E-08,1,1.012308547,1,-0.012308547,0
loh,0.879026484,0.096691571,0.017527512,0.005072474,0.001609753,6.74E-05,4.78E-06,1,1.153768835,1,-0.153768835,0
loi,0.356080529,0.31152516,0.156461128,0.09416487,0.069900975,0.009928817,0.001938521,1,2.247821135,1,-1.247821135,0
lok,0.976051229,0.021235367,0.00219106,0.000430519,8.98E-05,1.94E-06,8.24E-08,1,1.027278454,1,-0.027278454,0
lol,0.998683628,0.001246866,6.13E-05,7.33E-06,9.13E-07,8.41E-09,1.87E-10,1,1.001395061,1,-0.001395061,0
lom,0.979215208,0.018529612,0.001832858,0.000349985,7.08E-05,1.46E-06,5.96E-08,1,1.023536213,1,-0.023536213,0
lon,0.98659169,0.012129516,0.001058178,0.000185635,3.43E-05,6.12E-07,2.24E-08,1,1.014943362,1,-0.014943362,0
loo,0.898011707,0.082882134,0.014024666,0.003868943,0.001164584,4.50E-05,2.99E-06,1,1.12743945,1,-0.12743945,0
lop,0.880804217,0.095416021,0.01719122,0.004954073,0.001564808,6.51E-05,4.58E-06,1,1.1512728,1,-0.1512728,0
loq,0.967075435,0.028800204,0.003277832,0.000688445,0.000154169,3.74E-06,1.73E-07,1,1.038057627,1,-0.038057627,0
lor,0.776339168,0.16453502,0.039417857,0.01387543,0.005483369,0.000319665,2.95E-05,1,1.308705777,1,-0.308705777,0
lou,0.467580796,0.296938006,0.123978996,0.065108878,0.040991708,0.00465398,0.000747637,1,1.931945182,3,1.068054818,2
low,0.179239374,0.274586469,0.194818432,0.152010596,0.155904605,0.033764631,0.009675893,2,2.970752051,2,-0.970752051,0
lox,0.113797352,0.229194517,0.194196382,0.173587482,0.211968378,0.057091906,0.020163982,2,3.392666665,7,3.607333335,5
loy,0.618377903,0.246714866,0.08023581,0.03513665,0.017848536,0.001499515,0.00018672,1,1.592608477,1,-0.592608477,0
loz,0.997937215,0.001941824,0.000105618,1.35E-05,1.80E-06,1.87E-08,4.52E-10,1,1.00220093,1,-0.00220093,0
lpe,0.51990401,0.283038688,0.108524161,0.053551092,0.031303856,0.003206461,0.000471733,1,1.80481841,1,-0.80481841,0
lpn,0.479072254,0.294235472,0.120575704,0.062460346,0.038685658,0.004294008,0.000676558,1,1.903039937,1,-0.903039937,0
lpo,0.648813751,0.233056179,0.071850531,0.030277119,0.014706774,0.001158834,0.000136811,1,1.533030736,2,0.466969264,1
lpx,0.939795677,0.050951123,0.007087709,0.001707752,0.000443381,1.36E-05,7.55E-07,1,1.072095866,1,-0.072095866,0
lra,0.69029304,0.212726027,0.060782288,0.024254199,0.011061546,0.000795754,8.71E-05,1,1.455801026,1,-0.455801026,0
lrc,0.920981735,0.065602935,0.010067733,0.002595664,0.000725441,2.50E-05,1.52E-06,1,1.096561134,1,-0.096561134,0
lrg,9.05E-06,0.000237052,0.001161148,0.004377588,0.042986744,0.102666895,0.848561528,7,6.792342731,5,-1.792342731,-2
lri,0.14707271,0.255457071,0.196508845,0.163087782,0.180966736,0.043280564,0.013626292,2,3.159765625,1,-2.159765625,-1
lrl,0.457685209,0.299100211,0.126909752,0.067440196,0.043064643,0.004985547,0.000814441,1,1.957313261,1,-0.957313261,0
lrm,0.182531304,0.27625417,0.194486755,0.150858788,0.15356846,0.032943817,0.009356705,2,2.952937203,1,-1.952937203,-1
lro,0.758586283,0.175126749,0.043628078,0.015788944,0.006439003,0.000393266,3.77E-05,1,1.337698144,1,-0.337698144,0
lrr,0.469867433,0.296416504,0.123301696,0.064576842,0.04052431,0.004580259,0.000732955,1,1.92614669,2,0.07385331,1
lrt,0.6737641,0.221059802,0.0651395,0.026572647,0.012431321,0.000927883,0.000104747,1,1.486049926,2,0.513950074,1
lrv,0.391557095,0.309347359,0.146335503,0.084248327,0.059252592,0.007825808,0.001433316,1,2.13950265,2,-0.13950265,1
lsa,0.000352061,0.004506979,0.013538145,0.033605454,0.172337661,0.223540589,0.55211911,7,6.252167884,1,-5.252167884,-6
lsd,0.247307315,0.300165492,0.183890985,0.128396429,0.114494269,0.020718475,0.005027034,2,2.64486841,3,0.35513159,1
lse,0.938325594,0.052113175,0.007311197,0.00177192,0.000462965,1.43E-05,8.02E-07,1,1.073979735,1,-0.073979735,0
lsh,0.80647615,0.145791534,0.032535192,0.010892767,0.004067625,0.000217947,1.88E-05,1,1.261013167,1,-0.261013167,0
lsi,0.923249591,0.063861444,0.009695298,0.002481084,0.000687797,2.34E-05,1.41E-06,1,1.093571819,1,-0.093571819,0
lsm,0.991335546,0.007932944,0.000614703,9.96E-05,1.70E-05,2.63E-07,8.67E-09,1,1.009530275,1,-0.009530275,0
lsr,0.7504515,0.179868408,0.045593743,0.016704855,0.00690875,0.000430775,4.20E-05,1,1.351211154,2,0.648788846,1
lss,0.715620562,0.199370584,0.05425381,0.02090761,0.009160852,0.000621682,6.49E-05,1,1.410742257,1,-0.410742257,0
ltn,0.023496239,0.094690224,0.128032182,0.165106458,0.328882137,0.157854391,0.101938369,5,4.562504679,4,-0.562504679,-1
lto,0.194892198,0.282084936,0.193026103,0.146527268,0.145134569,0.030068687,0.008266238,2,2.888198088,1,-1.888198088,-1
lts,0.088918953,0.203897472,0.188236352,0.179798783,0.239386704,0.071663556,0.02809818,5,3.604220201,1,-2.604220201,-4
ltz,0.780090543,0.162254181,0.038542577,0.013485988,0.005293278,0.000305479,2.80E-05,1,1.302665529,1,-0.302665529,0
lua,0.999638798,0.00034683,1.29E-05,1.29E-06,1.34E-07,9.04E-10,1.59E-11,1,1.000377138,1,-0.000377138,0
lub,0.998506293,0.001412507,7.14E-05,8.70E-06,1.10E-06,1.05E-08,2.39E-10,1,1.001585854,1,-0.001585854,0
luc,0.98896439,0.010039557,0.000830124,0.00014047,2.50E-05,4.19E-07,1.46E-08,1,1.012223501,1,-0.012223501,0
lud,0.396236403,0.30887733,0.144978635,0.082987606,0.057959652,0.007582972,0.001377403,1,2.125815299,4,1.874184701,3
lue,0.992348536,0.007026852,0.000526978,8.35E-05,1.39E-05,2.08E-07,6.65E-09,1,1.008388042,1,-0.008388042,0
luf,0.034486231,0.120249068,0.147260296,0.175528035,0.314009493,0.133299737,0.075167139,5,4.314893261,7,2.685106739,2
lug,0.991808768,0.007510144,0.000573378,9.20E-05,1.55E-05,2.37E-07,7.69E-09,1,1.00899602,1,-0.00899602,0
lui,0.010989585,0.057325085,0.092577654,0.137684781,0.334353334,0.200103549,0.166966011,5,4.995261888,5,0.004738112,0
luj,0.951483383,0.041602149,0.005372976,0.001230269,0.00030228,8.50E-06,4.41E-07,1,1.057293184,1,-0.057293184,0
luk,0.492053304,0.290941026,0.116734827,0.059543704,0.036205739,0.0039175,0.000603901,1,1.871075653,1,-0.871075653,0
lul,0.867733966,0.10471115,0.01970182,0.00585187,0.001911389,8.37E-05,6.14E-06,1,1.169771115,1,-0.169771115,0
lum,0.928899362,0.059494098,0.008782774,0.002204541,0.000598389,1.97E-05,1.15E-06,1,1.086172162,1,-0.086172162,0
lun,0.995786443,0.003919163,0.00025269,3.62E-05,5.43E-06,6.83E-08,1.91E-09,1,1.004555223,1,-0.004555223,0
luo,0.999085304,0.000870216,3.95E-05,4.48E-06,5.29E-07,4.45E-09,9.23E-11,1,1.000964729,1,-0.000964729,0
lup,0.925739691,0.061941679,0.009290385,0.002357627,0.000647624,2.17E-05,1.29E-06,1,1.090302087,1,-0.090302087,0
lus,0.991426133,0.007852073,0.000606747,9.81E-05,1.67E-05,2.58E-07,8.48E-09,1,1.009427917,1,-0.009427917,0
luw,0.012643935,0.063040942,0.098682557,0.143116496,0.335495119,0.193150851,0.153870099,5,4.920710872,5,0.079289128,0
luz,0.766246408,0.170597517,0.041797832,0.014948975,0.006015151,0.000360163,3.40E-05,1,1.325105253,1,-0.325105253,0
lva,0.083605875,0.197704895,0.186295653,0.180796305,0.245789205,0.075462105,0.030345961,5,3.655228231,5,1.344771769,0
lvk,0.586069064,0.259998211,0.089346726,0.040715966,0.021668882,0.001945147,0.000256002,1,1.658776842,1,-0.658776842,0
lvu,0.066052046,0.174792146,0.177580296,0.182744541,0.268429689,0.090436563,0.039964719,5,3.843876246,1,-2.843876246,-4
lwa,0.946845472,0.045335911,0.006039822,0.001412707,0.000355176,1.04E-05,5.52E-07,1,1.063129493,1,-0.063129493,0
lwe,0.010453688,0.05540214,0.090458324,0.135730069,0.333736716,0.202475817,0.171743247,5,5.021294424,1,-4.021294424,-4
lwg,0.192710204,0.281103794,0.193307361,0.147292054,0.146585724,0.0305537,0.008447163,2,2.899389052,1,-1.899389052,-1
lwh,0.323616512,0.311207402,0.165371949,0.103793147,0.081111155,0.012339494,0.002560341,1,2.354834876,3,0.645165124,2
lwl,0.579699674,0.262464403,0.091165354,0.041868134,0.022485762,0.002044651,0.000272023,1,1.67219795,1,-0.67219795,0
lwm,0.238291665,0.297746713,0.185736409,0.131463098,0.119241073,0.022059396,0.005461645,2,2.683639971,2,-0.683639971,0
lwo,0.967171125,0.028720362,0.003265743,0.000685477,0.000153402,3.72E-06,1.72E-07,1,1.037941514,1,-0.037941514,0
lwt,0.855923746,0.112946974,0.022043748,0.006717171,0.002257346,0.000103182,7.83E-06,1,1.186778274,1,-0.186778274,0
lww,0.726939929,0.193175848,0.051397514,0.019491481,0.008384745,0.000553913,5.66E-05,1,1.391093281,1,-0.391093281,0
lya,0.352673449,0.31159977,0.157414987,0.095150582,0.071007649,0.010157853,0.001995709,1,2.258675608,1,-1.258675608,0
lyg,0.81185967,0.142342178,0.031342749,0.010394941,0.003840687,0.00020254,1.72E-05,1,1.252691359,1,-0.252691359,0
lyn,0.982179152,0.015974338,0.001510715,0.000279844,5.48E-05,1.07E-06,4.21E-08,1,1.02006026,1,-0.02006026,0
lzl,0.141902116,0.251852672,0.19646795,0.164811519,0.185413083,0.045113343,0.014439318,2,3.19307808,5,1.80692192,3
lzn,0.814316592,0.140757759,0.030802429,0.010171256,0.003739638,0.000195766,1.66E-05,1,1.248913131,1,-0.248913131,0
lzz,0.740642451,0.18549222,0.047993352,0.017842164,0.007502773,0.000479394,4.76E-05,1,1.367699352,2,0.632300648,1
maa,0.821767953,0.135913336,0.029178888,0.009506317,0.003442694,0.000176177,1.46E-05,1,1.237529533,1,-0.237529533,0
mab,0.299825924,0.309424285,0.171588617,0.111178713,0.090356436,0.014478952,0.003147074,2,2.438840602,1,-1.438840602,-1
mad,0.978887603,0.018810796,0.001869283,0.000358057,7.27E-05,1.51E-06,6.17E-08,1,1.023922208,1,-0.023922208,0
mae,0.788471658,0.157104725,0.036605769,0.012634621,0.004883081,0.000275408,2.47E-05,1,1.289277921,1,-0.289277921,0
maf,0.980416443,0.017496492,0.001700665,0.000320923,6.41E-05,1.30E-06,5.21E-08,1,1.0221239,1,-0.0221239,0
mag,0.987531718,0.011303528,0.000966438,0.000167257,3.05E-05,5.31E-07,1.91E-08,1,1.013862981,1,-0.013862981,0
mai,0.997879153,0.001995657,0.000109245,1.40E-05,1.88E-06,1.96E-08,4.78E-10,1,1.002263904,1,-0.002263904,0
maj,0.839284256,0.124292165,0.025454909,0.00802284,0.002799591,0.000135477,1.08E-05,1,1.211210824,1,-0.211210824,0
mak,0.892160459,0.087182614,0.015083009,0.004225481,0.001293672,5.13E-05,3.48E-06,1,1.135477062,2,0.864522938,1
mal,0.999682463,0.000305237,1.11E-05,1.09E-06,1.11E-07,7.27E-10,1.25E-11,1,1.000331151,1,-0.000331151,0
mam,0.915256972,0.069970021,0.01102301,0.002893906,0.000824978,2.93E-05,1.82E-06,1,1.104155056,1,-0.104155056,0
maq,0.534088825,0.278592075,0.104366655,0.050635547,0.029012151,0.002889616,0.000415131,1,1.772219496,2,0.227780504,1
mar,0.999872411,0.000123477,3.75E-06,3.28E-07,2.98E-08,1.59E-10,2.36E-12,1,1.000132089,1,-0.000132089,0
mas,0.992301993,0.00706857,0.000530947,8.42E-05,1.40E-05,2.10E-07,6.74E-09,1,1.008440407,1,-0.008440407,0
mat,0.222132743,0.29272698,0.188787813,0.137023641,0.128262101,0.024714377,0.006352345,2,2.756107889,4,1.243892111,2
mau,0.924241805,0.063097447,0.009533447,0.002431595,0.000671644,2.27E-05,1.36E-06,1,1.092267374,1,-0.092267374,0
mav,0.618808686,0.246529185,0.080115718,0.035065214,0.017801088,0.001494192,0.000185919,1,1.591747082,1,-0.591747082,0
maw,0.969756913,0.026556472,0.002942999,0.000607012,0.000133325,3.14E-06,1.42E-07,1,1.034813342,1,-0.034813342,0
maz,0.91285351,0.071791278,0.01143038,0.003022933,0.000868707,3.12E-05,1.96E-06,1,1.107363586,1,-0.107363586,0
mba,0.784690503,0.1594371,0.037476338,0.013015521,0.005065683,0.000288701,2.62E-05,1,1.295299494,1,-0.295299494,0
mbb,0.826816779,0.132597327,0.028091989,0.009067266,0.003249515,0.000163696,1.34E-05,1,1.229880212,1,-0.229880212,0
mbc,0.729305196,0.19186394,0.050805661,0.019201719,0.008228066,0.000540478,5.49E-05,1,1.387024719,2,0.612975281,1
mbd,0.820963095,0.136439449,0.029353146,0.009577166,0.003474085,0.000178225,1.48E-05,1,1.238753708,1,-0.238753708,0
mbe,0.001341903,0.012577786,0.030469388,0.063176565,0.247583112,0.245544857,0.399306389,7,5.876941325,7,1.123058675,0
mbf,0.499921543,0.288822203,0.114410156,0.057814296,0.034764515,0.00370382,0.000563468,1,1.852043366,3,1.147956634,2
mbh,0.850853034,0.116436116,0.02306974,0.007104356,0.002415692,0.000112407,8.65E-06,1,1.194165392,1,-0.194165392,0
mbi,0.8299791,0.130506504,0.027416727,0.008796995,0.003131769,0.000156194,1.27E-05,1,1.225115252,1,-0.225115252,0
mbj,0.182919506,0.276447568,0.194445977,0.150722877,0.153295535,0.032848624,0.009319913,2,2.950852892,1,-1.950852892,-1
mbk,0.848311068,0.118174711,0.023588587,0.007301987,0.002497327,0.000117231,9.09E-06,1,1.197887843,1,-0.197887843,0
mbl,0.099191266,0.215034717,0.191262123,0.177494972,0.227571664,0.065070643,0.024374615,5,3.511931441,1,-2.511931441,-4
mbm,0.743259457,0.184001861,0.047350055,0.017535208,0.007341293,0.00046605,4.61E-05,1,1.363279471,1,-0.363279471,0
mbn,0.36712586,0.311117162,0.153343909,0.091009485,0.066418324,0.009220879,0.001764381,1,2.21319741,2,-0.21319741,1
mbo,0.933058023,0.05625257,0.008125483,0.002009197,0.000536535,1.72E-05,9.88E-07,1,1.080769216,2,0.919230784,1
mbp,0.435086875,0.30344597,0.133591955,0.07294185,0.048119209,0.005825136,0.000989006,1,2.01699198,2,-0.01699198,1
mbq,0.898057377,0.08284841,0.014016482,0.003866211,0.001163604,4.49E-05,2.98E-06,1,1.127376987,1,-0.127376987,0
mbr,0.286896061,0.30785785,0.174823264,0.115305553,0.095791476,0.01580083,0.003524966,2,2.486740889,1,-1.486740889,-1
mbs,0.888066863,0.090167593,0.015834859,0.004482567,0.001388249,5.60E-05,3.85E-06,1,1.141141202,1,-0.141141202,0
mbt,0.838674416,0.124702284,0.025582316,0.008072611,0.002820715,0.000136774,1.09E-05,1,1.212116778,1,-0.212116778,0
mbu,0.893537951,0.086173802,0.01483211,0.004140385,0.001262639,4.98E-05,3.36E-06,1,1.133578652,1,-0.133578652,0
mbv,0.693555164,0.21104541,0.059931156,0.023809252,0.010803563,0.000771479,8.40E-05,1,1.44991098,1,-0.44991098,0
mbw,0.930288352,0.058413989,0.008561856,0.002138516,0.000577358,1.88E-05,1.10E-06,1,1.084363424,1,-0.084363424,0
mbx,0.592156352,0.257593713,0.087615208,0.039631049,0.02090839,0.001853821,0.000241468,1,1.646068747,2,0.353931253,1
mby,0.008881634,0.049529818,0.083766446,0.129321074,0.331006002,0.20980363,0.187691397,5,5.104216468,3,-2.104216468,-2
mbz,0.789166867,0.156674246,0.036446287,0.01256516,0.004849943,0.000273012,2.45E-05,1,1.288174042,2,0.711825958,1
mca,0.30515155,0.309944333,0.170224813,0.109501737,0.088204528,0.013968734,0.003004307,2,2.419586786,1,-1.419586786,-1
mcb,0.810834962,0.1430011,0.031568823,0.010488883,0.003883296,0.000205413,1.75E-05,1,1.254270781,1,-0.254270781,0
mcc,0.758414757,0.175227455,0.043669292,0.015808002,0.006448698,0.000394032,3.78E-05,1,1.337981579,1,-0.337981579,0
mcd,0.496443568,0.289769996,0.115437331,0.05857518,0.035395937,0.003796968,0.000581021,1,1.860424909,1,-0.860424909,0
mce,0.468920028,0.296633562,0.123582315,0.064796973,0.040717443,0.004610675,0.000739005,1,1.928546284,3,1.071453716,2
mcf,0.446261041,0.301401762,0.130290652,0.070190397,0.04556253,0.00539499,0.000898628,1,1.987171097,1,-0.987171097,0
mcg,0.059897025,0.165716169,0.173474932,0.182747517,0.27691292,0.096809343,0.044442093,5,3.919259542,5,1.080740458,0
mch,0.664836538,0.225433588,0.067522865,0.027869647,0.013215998,0.001005952,0.00011541,1,1.502674477,1,-0.502674477,0
mci,0.878160295,0.09731178,0.017691968,0.005130589,0.0016319,6.86E-05,4.87E-06,1,1.154987295,1,-0.154987295,0
mcj,0.36762056,0.311093039,0.153203461,0.090869599,0.066266013,0.009190363,0.001756965,1,2.211666415,2,-0.211666415,1
mck,0.992711822,0.006700932,0.000496207,7.80E-05,1.29E-05,1.90E-07,6.00E-09,1,1.00797972,1,-0.00797972,0
mcl,0.337324128,0.311626691,0.161661068,0.099663565,0.076191916,0.011256896,0.002275735,1,2.308646078,6,3.691353922,5
mcn,0.957804746,0.036459979,0.004494947,0.000996996,0.000236713,6.31E-06,3.13E-07,1,1.049421123,1,-0.049421123,0
mco,0.790481186,0.155859015,0.036145278,0.012434324,0.004787663,0.000268522,2.40E-05,1,1.286089874,1,-0.286089874,0
mcp,0.960551903,0.034205347,0.004125143,0.000901311,0.000210563,5.47E-06,2.66E-07,1,1.046030751,1,-0.046030751,0
mcq,0.960659575,0.034116725,0.0041108,0.000897632,0.000209567,5.44E-06,2.65E-07,1,1.045898258,1,-0.045898258,0
mcr,0.955737361,0.038148638,0.004778038,0.001071299,0.000257328,6.98E-06,3.52E-07,1,1.051984954,1,-0.051984954,0
mcs,0.697649765,0.208919285,0.058867037,0.023256606,0.010485363,0.000741813,8.01E-05,1,1.44255448,1,-0.44255448,0
mcu,0.913447886,0.071341547,0.011329296,0.002990816,0.000857786,3.07E-05,1.93E-06,1,1.106569004,1,-0.106569004,0
mcv,0.741668045,0.184909027,0.047740981,0.017721562,0.007439227,0.000474132,4.70E-05,1,1.365965397,2,0.634034603,1
mcw,0.756814169,0.176165684,0.044054373,0.015986369,0.006539596,0.000401227,3.86E-05,1,1.340629547,1,-0.340629547,0
mcy,0.759546156,0.174562613,0.043397622,0.015682495,0.006384918,0.000389003,3.72E-05,1,1.336113189,1,-0.336113189,0
mcz,0.80537405,0.146493892,0.032780734,0.010995985,0.004115026,0.000221199,1.91E-05,1,1.262724101,3,1.737275899,2
mda,0.981707795,0.016382101,0.001561026,0.000290643,5.73E-05,1.13E-06,4.46E-08,1,1.020611041,1,-0.020611041,0
mdb,0.700562636,0.207395541,0.058112921,0.022867411,0.010262765,0.000721242,7.75E-05,1,1.437345788,1,-0.437345788,0
mdd,0.965754793,0.029900441,0.003445707,0.000729871,0.000164937,4.06E-06,1.90E-07,1,1.039662662,1,-0.039662662,0
mde,0.964947963,0.030571088,0.003549205,0.000755602,0.000171677,4.26E-06,2.01E-07,1,1.040645537,1,-0.040645537,0
mdf,0.814766644,0.140466835,0.030703721,0.010130521,0.003721298,0.000194542,1.64E-05,1,1.248222378,1,-0.248222378,0
mdg,0.034006923,0.119230115,0.14655993,0.175211814,0.31470755,0.134217019,0.076066651,5,4.324300612,5,0.675699388,0
mdh,0.954788551,0.038921357,0.004909303,0.001106052,0.000267059,7.31E-06,3.71E-07,1,1.053165115,1,-0.053165115,0
mdi,0.955200801,0.038585792,0.004852167,0.001090902,0.00026281,7.17E-06,3.63E-07,1,1.052652075,1,-0.052652075,0
mdj,0.995243786,0.004413489,0.000293219,4.29E-05,6.56E-06,8.54E-08,2.46E-09,1,1.00515518,1,-0.00515518,0
mdk,0.895330316,0.084857845,0.014507247,0.004030729,0.001222854,4.78E-05,3.21E-06,1,1.131114197,1,-0.131114197,0
mdm,0.950596644,0.042318519,0.005499034,0.001264421,0.000312079,8.84E-06,4.61E-07,1,1.058405139,1,-0.058405139,0
mdn,0.9208051,0.065738297,0.010096885,0.002604674,0.000728416,2.51E-05,1.52E-06,1,1.096794415,1,-0.096794415,0
mdp,0.99516096,0.004488799,0.000299507,4.39E-05,6.74E-06,8.81E-08,2.55E-09,1,1.005246935,1,-0.005246935,0
mdq,0.994736576,0.004874123,0.000332131,4.94E-05,7.69E-06,1.03E-07,3.03E-09,1,1.005717796,1,-0.005717796,0
mdr,0.9120039,0.072433374,0.011575258,0.00306908,0.000884441,3.19E-05,2.01E-06,1,1.10850064,1,-0.10850064,0
mds,0.816641308,0.1392527,0.03029345,0.009961634,0.003645466,0.000189502,1.59E-05,1,1.24534952,1,-0.24534952,0
mdt,0.937749619,0.052567645,0.007399214,0.001797306,0.00047075,1.46E-05,8.21E-07,1,1.074719141,1,-0.074719141,0
mdu,0.867288914,0.105024297,0.019788835,0.00588355,0.001923855,8.44E-05,6.19E-06,1,1.17040698,1,-0.17040698,0
mdv,0.622396198,0.244974237,0.079117111,0.034473288,0.017409366,0.001450445,0.000179357,1,1.584594148,2,0.415405852,1
mdw,0.922810344,0.064199256,0.009767162,0.002503117,0.000695009,2.37E-05,1.43E-06,1,1.094149953,1,-0.094149953,0
mdx,0.901841903,0.080045241,0.013342544,0.003642563,0.001083926,4.11E-05,2.69E-06,1,1.122215531,1,-0.122215531,0
mdy,0.955458532,0.038375866,0.004816527,0.00108147,0.00026017,7.08E-06,3.58E-07,1,1.052331542,1,-0.052331542,0
mdz,0.213081753,0.289508467,0.19033415,0.140167736,0.13362382,0.026359993,0.006924082,2,2.798519712,1,-1.798519712,-1
mea,0.78462789,0.159475596,0.037490799,0.013021873,0.005068741,0.000288925,2.62E-05,1,1.295399459,1,-0.295399459,0
meb,0.773433169,0.166291639,0.040099393,0.014180677,0.005633422,0.000330972,3.07E-05,1,1.313405371,1,-0.313405371,0
mec,0.021996659,0.090780991,0.124766707,0.1630055,0.330568207,0.161910679,0.106971258,5,4.602984674,5,0.397015326,0
med,0.98914423,0.00988044,0.000813326,0.000137215,2.44E-05,4.06E-07,1.41E-08,1,1.012018328,1,-0.012018328,0
mee,0.948692904,0.043852485,0.005771982,0.00133891,0.000333619,9.59E-06,5.06E-07,1,1.060798664,1,-0.060798664,0
mef,0.658093307,0.228677347,0.069336486,0.028870311,0.013830267,0.001068234,0.000124048,1,1.515367778,1,-0.515367778,0
meh,0.837725839,0.125339411,0.025780821,0.008150297,0.002853752,0.000138809,1.11E-05,1,1.213527424,1,-0.213527424,0
mei,0.598011568,0.255237443,0.085955989,0.038602361,0.020195137,0.001769331,0.00022817,1,1.633952732,1,-0.633952732,0
mej,0.70542427,0.204831653,0.05685971,0.022225137,0.009898133,0.000687874,7.32E-05,1,1.428697725,1,-0.428697725,0
mek,0.965711778,0.029936224,0.003451207,0.000731235,0.000165293,4.07E-06,1.91E-07,1,1.039715019,1,-0.039715019,0
mel,0.66019236,0.22767317,0.068770721,0.028556876,0.013637035,0.001048533,0.000121304,1,1.51140387,2,0.48859613,1
mem,0.001114364,0.010931544,0.027328025,0.058165828,0.236940161,0.244397857,0.42112222,7,5.936568332,5,-0.936568332,-2
men,0.997857718,0.002015523,0.00011059,1.42E-05,1.91E-06,2.00E-08,4.88E-10,1,1.002287162,1,-0.002287162,0
mep,0.132443029,0.244830169,0.196117654,0.16789462,0.193883465,0.048735731,0.016095333,2,3.256533849,4,0.743466151,2
meq,0.831300543,0.129629645,0.027135826,0.008685135,0.003083302,0.00015313,1.24E-05,1,1.223130073,1,-0.223130073,0
mer,0.994119064,0.005433223,0.000380755,5.77E-05,9.15E-06,1.27E-07,3.82E-09,1,1.006405027,1,-0.006405027,0
mes,0.846704838,0.11926969,0.023917973,0.007428082,0.002549695,0.000120349,9.37E-06,1,1.200246641,1,-0.200246641,0
met,0.850280178,0.116828538,0.023186406,0.007148688,0.002433957,0.000113482,8.75E-06,1,1.195003158,1,-0.195003158,0
mev,0.978958303,0.018750134,0.001861409,0.00035631,7.23E-05,1.50E-06,6.13E-08,1,1.023838878,1,-0.023838878,0
mew,0.805619605,0.146337513,0.032725984,0.010972949,0.004104437,0.000220471,1.90E-05,1,1.262342678,1,-0.262342678,0
mey,0.995383489,0.00428638,0.000282673,4.11E-05,6.26E-06,8.08E-08,2.31E-09,1,1.005000525,1,-0.005000525,0
mez,0.030480972,0.111490289,0.141066494,0.172555915,0.319755886,0.141345675,0.083304769,5,4.396871556,4,-0.396871556,-1
mfc,0.943224496,0.048228942,0.006573035,0.001561613,0.000399302,1.20E-05,6.51E-07,1,1.067720771,1,-0.067720771,0
mfd,0.871898099,0.101770521,0.018892478,0.005558991,0.00179689,7.74E-05,5.61E-06,1,1.163840719,2,0.836159281,1
mfe,0.966293484,0.02945203,0.003376999,0.00071287,0.000160505,3.93E-06,1.83E-07,1,1.0390074,1,-0.0390074,0
mff,0.804610323,0.146979853,0.03295117,0.011067773,0.004148063,0.000223472,1.93E-05,1,1.263911197,1,-0.263911197,0
mfg,0.68207362,0.216908287,0.062939831,0.025393715,0.011729472,0.00085951,9.56E-05,1,1.470757926,1,-0.470757926,0
mfh,0.897151667,0.083516751,0.014179001,0.003920539,0.001183111,4.59E-05,3.06E-06,1,1.128616521,1,-0.128616521,0
mfi,0.923910471,0.063352712,0.00958742,0.002448077,0.000677017,2.29E-05,1.37E-06,1,1.092702741,1,-0.092702741,0
mfj,0.8610584,0.109385197,0.021017245,0.006334687,0.002103045,9.44E-05,7.06E-06,1,1.179350115,1,-0.179350115,0
mfk,0.927094588,0.060893732,0.009071862,0.002291491,0.000626274,2.08E-05,1.23E-06,1,1.088528522,1,-0.088528522,0
mfl,0.40619595,0.307741706,0.142078173,0.080340766,0.055288036,0.00708987,0.0012655,1,2.097114844,5,2.902885156,4
mfm,0.970111209,0.026259013,0.00289938,0.000596526,0.000130673,3.06E-06,1.38E-07,1,1.034386176,1,-0.034386176,0
mfn,0.987849391,0.011023804,0.000935839,0.000161188,2.93E-05,5.05E-07,1.80E-08,1,1.013498698,1,-0.013498698,0
