ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
seb-CIV	seb-ci	seb-IV	Shempire Senoufo	Senoufo, Shempire	SENOUFO, SHEMPIRE	Senoufo, Shempire	seb	shem1239	Shempire Senoufo	Africa	10.4867	-6.37129	shem1239	CI;ML	book1242	NA	not endangered	Bookkeeping	book1242	language	NA	shem1239:1	{u'View other languages of Mali': {}}	Shenpire, Syempire	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Senufo, Suppire-Mamara	Côte d’Ivoire	3 or 4 dialects. Relationship to Supyire Senoufo [spp] in Mali is undetermined.	Literacy rate in L2: Below 5%.	Côte d’Ivoire	OLAC resources in and about Sénoufo, Shempire	6a (Vigorous).	Also use French [fra].	Savanes district: north of Tingréla.	NA	100,000 (1996). Total users in all countries: 114,800.	114800	NA	NA	Sénoufo, Shempire
cnm-GTM	cnm-gt	cnm-GT	Ixtatan Chuj	Chuj, Ixtatan	CHUJ, IXTATAN	Chuj, Ixtatán	cnm	chuj1251	Chuj, Ixtatán	North America	NA	NA	chuj1251	GT;MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	chuj1251:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iap-BRA	iap-br	iap-BR	Iapama	Iapama	IAPAMA	Iapama	iap	iapa1241	Iapama	South America	0.97588	-53.3269	iapa1241	BR	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	iapa1241:1	NA	NA	NA	Unclassified	Brazil	NA	NA	NA	OLAC resources in and about Iapama	Unattested.	NA	Pará and Amapá states border region.	NA	NA	NA	NA	NA	Iapama
tsf-NPL	tsf-np	tsf-NP	Southwestern Tamang	Tamang, Southwestern	TAMANG, SOUTHWESTERN	Tamang, Southwestern	tsf	sout2718	Southwestern Tamang	Eurasia	27.5722	84.9036	sout2718	NP	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	sout2718:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tme-BRA	tme-br	tme-BR	Tremembe	Tremembe	TREMEMBE	Tremembé	tme	trem1235	Tremembé	South America	-3.09359	-40.204	trem1235	BR	unat1236	NA	extinct	Unattested	unat1236	language	Wordlist or less	trem1235:1	NA	NA	NA	Unclassified	Brazil	NA	NA	NA	OLAC resources in and about Tremembé	9 (Dormant).	Shifted to Portuguese [por].	Ceará state.	NA	No known L1 speakers. Ethnic population: 1,510 (1999).	0	NA	NA	Tremembé
oun-AGO	oun-ao	oun-AO	Oung	Oung	OUNG	!O!ung	oun	oung1238	!O!ung	Africa	-15.3	14.35	oung1238	AO;NA	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	oung1238:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppv-BRA	ppv-br	ppv-BR	Papavo	Papavo	PAPAVO	Papavô	ppv	papa1263	Papavô	South America	-9.5	-72	papa1263	BR	unat1236	NA	NA	Unattested	unat1236/pano1260	language	Wordlist or less	papa1263:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sic-PNG	sic-pg	sic-PP	Malinguat	Malinguat	MALINGUAT	Malinguat	sic	mali1288	Malinguat	Papunesia	NA	NA	mali1288	PG	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	mali1288:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tzb-MEX	tzb-mx	tzb-MX	Bachajon Tzeltal	Tzeltal, Bachajon	TZELTAL, BACHAJON	Tzeltal, Bachajón	tzb	tzel1255	Tzeltal, Bachajón	North America	NA	NA	tzel1255	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	tzel1255:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ime-MRT	ime-mr	ime-MR	Imeraguen	Imeraguen	IMERAGUEN	Imeraguen	ime	imer1236	Imeraguen	Africa	18.37331	-16.34726	imer1236	MR	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	imer1236:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
